iter	MAP:top=5
0	0.3574949975
1	0.4461376522
2	0.5043179923
3	0.5451964871
4	0.5700337669
5	0.5832973431
6	0.5998017064
7	0.6041442944
8	0.6087372853
9	0.6117965927
10	0.6142861709
11	0.6169508365
12	0.620003196
13	0.6205317937
14	0.6215106164
15	0.624849925
16	0.6236226447
17	0.627069507
18	0.6291263687
19	0.630710911
20	0.6309724307
21	0.6342191929
22	0.635827636
23	0.6363970874
24	0.6373823023
25	0.6386871213
26	0.6379346618
27	0.6383165194
28	0.6391305375
29	0.6407421766
30	0.6425805959
31	0.6425050025
32	0.6437272803
33	0.644929965
34	0.6449755433
35	0.646632205
36	0.6467426769
37	0.647339642
38	0.6474641487
39	0.6483562615
40	0.64840448
41	0.6503933911
42	0.6499848535
43	0.6510495526
44	0.6521842866
45	0.653147685
46	0.6534200434
47	0.6546970708
48	0.6554353566
49	0.6559756267
50	0.6559080929
51	0.6569035907
52	0.6574897171
53	0.6580027514
54	0.6577822244
55	0.6575883775
56	0.6584792396
57	0.6593680173
58	0.6598811906
59	0.659515869
60	0.6612156078
61	0.6615061698
62	0.6614861597
63	0.6629396643
64	0.662550164
65	0.6623784114
66	0.664045495
67	0.6636661386
68	0.6632271691
69	0.6646466289
70	0.6657421766
71	0.6661123617
72	0.6671031349
73	0.6679343839
74	0.6677317826
75	0.6681853427
76	0.6679944139
77	0.6688098216
78	0.6692750542
79	0.6697803068
80	0.6701713357
81	0.6704689845
82	0.6707741371
83	0.6726192263
84	0.6718229948
85	0.6724474737
86	0.6721323162
87	0.6724608137
88	0.6729177089
89	0.6738264966
90	0.6744784892
91	0.6754848257
92	0.6759358846
93	0.6762218609
94	0.6758400033
95	0.6768021511
96	0.6776659163
97	0.6781611639
98	0.6777638819
99	0.6779935801
100	0.6785310711
101	0.6788937524
102	0.6783822467
103	0.6783814129
104	0.6791351231
105	0.6802523484
106	0.6801322884
107	0.6799105108
108	0.6799221833
109	0.6804518926
110	0.6806503252
111	0.6808971152
112	0.6815090879
113	0.6819915513
114	0.6826485465
115	0.6831037741
116	0.6842365627
117	0.6851353455
118	0.6853942249
119	0.6858633483
120	0.6856865933
121	0.6857883108
122	0.6863505364
123	0.6860916569
124	0.6866185871
125	0.6863645712
126	0.6866652771
127	0.6868281363
128	0.6874276027
129	0.6881751987
130	0.689135679
131	0.6898143516
132	0.6899994442
133	0.6897387583
134	0.6898004558
135	0.6898588183
136	0.6905003891
137	0.6905087266
138	0.6906054416
139	0.6904653716
140	0.6906804791
141	0.691648741
142	0.6918908065
143	0.6923176866
144	0.6925141738
145	0.6930144239
146	0.6931711689
147	0.693414485
148	0.693785087
149	0.6946013284
150	0.6950036129
151	0.6953087655
152	0.6950882386
153	0.6954984437
154	0.6958202712
155	0.6959586738
156	0.6959169863
157	0.6967373965
158	0.6965139514
159	0.6961379301
160	0.6967707465
161	0.6966740315
162	0.6970875716
163	0.6974527542
164	0.6976111667
165	0.6974894392
166	0.6983904452
167	0.6995935468
168	0.6999062031
169	0.7004042299
170	0.700023484
171	0.7004103441
172	0.7018405036
173	0.701481991
174	0.7015648102
175	0.7018562059
176	0.7016869546
177	0.7022789172
178	0.7027845867
179	0.702830443
180	0.7033565394
181	0.7032539881
182	0.7035407982
183	0.7038121839
184	0.7034970263
185	0.7040418821
186	0.7042373965
187	0.7046926241
188	0.7048143516
189	0.7058615419
190	0.7070638097
191	0.7067795009
192	0.7066352621
193	0.7073339448
194	0.707206381
195	0.7075882386
196	0.707329776
197	0.707316436
198	0.7079625924
199	0.7085808182
200	0.7087542382
201	0.7093178534
202	0.7097955922
203	0.7099212106
204	0.7102580457
205	0.7102430382
206	0.7109317159
207	0.711451976
208	0.7115828748
209	0.7120330999
210	0.7121815074
211	0.7122532099
212	0.7117729698
213	0.7116345673
214	0.7124082875
215	0.7137506253
216	0.7135088378
217	0.7137322828
218	0.7135930465
219	0.7139832416
220	0.7141844533
221	0.7144245734
222	0.7149110666
223	0.7153296092
224	0.7160288478
225	0.7155044189
226	0.716171419
227	0.7160030015
228	0.7163881941
229	0.7162281141
230	0.7171385693
231	0.7173820243
232	0.7172669668
233	0.7171218943
234	0.7175921294
235	0.7185859596
236	0.7192929798
237	0.7193196598
238	0.7194697349
239	0.7196298149
240	0.7197081874
241	0.7198515925
242	0.7204452226
243	0.7203851926
244	0.7209488077
245	0.720957979
246	0.7215049191
247	0.7216666667
248	0.7218484242
249	0.7219939136
250	0.7229777389
251	0.7227372019
252	0.7227788894
253	0.7227138569
254	0.7227096882
255	0.7234500584
256	0.7236751709
257	0.7237952309
258	0.7244689011
259	0.7249157912
260	0.7249024512
261	0.7248307487
262	0.7248324162
263	0.7248590962
264	0.7252276138
265	0.7255210939
266	0.7259062865
267	0.7262014341
268	0.7264632316
269	0.7266508254
270	0.7267203046
271	0.7271721972
272	0.7273122672
