iter	Passed	Remaining
0	1485	4454576
1	2198	3295480
2	2907	2904671
3	3604	2699507
4	4323	2590047
5	5082	2536286
6	5797	2478991
7	6520	2438852
8	7245	2407984
9	7986	2388030
10	9153	2487322
11	10443	2600444
12	11738	2697100
13	12848	2740349
14	13592	2704890
15	14311	2669028
16	15034	2638086
17	15799	2617514
18	16539	2594954
19	17268	2573056
20	18020	2556305
21	18761	2539626
22	19503	2524366
23	20224	2507880
24	20991	2498021
25	21722	2484742
26	22444	2471400
27	23570	2501854
28	24806	2541351
29	26086	2582587
30	27275	2612297
31	28012	2598133
32	28762	2586033
33	29491	2572704
34	30241	2561921
35	30985	2551122
36	31746	2542278
37	32497	2533114
38	33232	2523082
39	33964	2513383
40	34694	2503915
41	35429	2495226
42	36592	2516375
43	37398	2512511
44	38730	2543306
45	40199	2581485
46	41659	2617477
47	43142	2653258
48	44590	2685419
49	45766	2700245
50	46503	2688985
51	47262	2679415
52	47988	2668349
53	48718	2657868
54	49439	2647236
55	50162	2637131
56	50889	2627495
57	51630	2618891
58	52346	2609338
59	53068	2600342
60	53801	2592150
61	54551	2585018
62	55723	2597762
63	56975	2613764
64	58218	2628811
65	59393	2640305
66	60143	2632861
67	60869	2624562
68	61609	2617074
69	62317	2608432
70	63049	2601033
71	63764	2593081
72	64480	2585393
73	65208	2578374
74	65952	2572165
75	66672	2565127
76	67421	2559386
77	68172	2553857
78	68905	2547753
79	69925	2552281
80	71129	2563293
81	72411	2576802
82	73653	2588528
83	74458	2584761
84	75204	2579060
85	75931	2572831
86	76643	2566231
87	77400	2561258
88	78121	2555200
89	78839	2549139
90	79559	2543265
91	80292	2537935
92	81037	2533086
93	81754	2527438
94	82511	2523125
95	83244	2518144
96	84055	2515609
97	85264	2524887
98	86558	2536419
99	87781	2545662
100	88845	2550139
101	89599	2545675
102	90368	2541712
103	91088	2536454
104	91800	2531068
105	92532	2526319
106	93234	2520820
107	93925	2515116
108	94636	2510050
109	95384	2506013
110	96118	2501682
111	96994	2501067
112	98509	2516798
113	100971	2556163
114	103612	2599314
115	104299	2593097
116	105047	2588483
117	105819	2584500
118	107097	2592845
119	107832	2587978
120	108536	2582451
121	109252	2577285
122	110009	2573142
123	110753	2568765
124	111456	2563493
125	112205	2559343
126	112955	2555293
127	113821	2553865
128	115117	2562025
129	116309	2567764
130	117527	2573931
131	118580	2576431
132	119301	2571713
133	120044	2567509
134	120764	2562887
135	121512	2558918
136	122260	2554974
137	122988	2550684
138	123710	2546296
139	124440	2542147
140	125173	2538090
141	125909	2534152
142	126633	2530006
143	127352	2525827
144	128076	2521775
145	129124	2524119
146	130328	2529440
147	131651	2536955
148	132837	2541739
149	133651	2539377
150	134380	2535435
151	135102	2531397
152	135868	2528212
153	136588	2524231
154	137298	2520098
155	137995	2515770
156	138723	2512039
157	139461	2508543
158	140180	2504743
159	140903	2501043
160	141632	2497484
161	142340	2493598
162	143066	2490052
163	144258	2494615
164	145529	2500464
165	146791	2506075
166	147920	2509333
167	148659	2505975
168	149414	2502912
169	150153	2499609
170	150885	2496229
171	151601	2492606
172	152338	2489367
173	153087	2486348
174	153811	2482956
175	154491	2478893
176	155226	2475727
177	155954	2472499
178	156679	2469236
179	157411	2466114
180	158387	2466820
181	159635	2471719
182	161045	2479037
183	162386	2485223
184	163156	2482631
185	164172	2483773
186	165446	2488774
187	166392	2488811
188	167102	2485320
189	167851	2482437
190	168594	2479486
191	169300	2476020
192	170021	2472793
193	170758	2469835
194	171486	2466762
195	172194	2463436
196	173279	2465487
197	174509	2469570
198	175805	2474532
199	177051	2478726
200	177800	2475944
201	178502	2472520
202	179254	2469824
203	180007	2467168
204	180710	2463837
205	181475	2461365
206	182228	2458766
207	182958	2455862
208	184126	2458834
209	185258	2461292
210	185949	2457886
211	186707	2455384
212	187940	2459111
213	189124	2462155
214	190521	2467919
215	191687	2470634
216	192402	2467538
217	193140	2464762
218	193885	2462076
219	194619	2459277
220	195340	2456336
221	196058	2453385
222	196841	2451245
223	197552	2448245
224	198307	2445790
225	199105	2443884
226	199861	2441480
227	200566	2438461
228	201317	2436035
229	202453	2438243
230	203735	2442181
231	205092	2446971
232	206282	2449718
233	207010	2446971
234	207736	2444221
235	208486	2441766
236	209213	2439061
237	209911	2436033
238	210641	2433394
239	211382	2430903
240	212086	2427994
241	212829	2425557
242	213572	2423123
243	214290	2420432
