iter	PairLogit	MAP:top=5
0	0.6889560849	0.21597785
1	0.6841536766	0.4316708354
2	0.6800001875	0.502016147
3	0.6767416763	0.5433495915
4	0.6746162461	0.5535633094
5	0.6715453842	0.5721888722
6	0.6698104534	0.570927825
7	0.6677865275	0.578765077
8	0.6661913573	0.5766184481
9	0.6642876105	0.5771710855
10	0.6628967871	0.5799588683
11	0.6615178612	0.5845817353
12	0.6607102367	0.5873203268
13	0.6593539119	0.5940732866
14	0.6586110818	0.5922936468
15	0.6574673831	0.5949569229
16	0.6565733509	0.593698099
17	0.656006686	0.5960367684
18	0.654673248	0.5993606525
19	0.6542700114	0.6020001668
20	0.6535887413	0.6023916125
21	0.6529471538	0.6011038853
22	0.6522264946	0.6047106887
23	0.6513892691	0.6038196876
24	0.6507428783	0.6045097549
25	0.6504472472	0.604976655
26	0.6501647673	0.6052376188
27	0.6493836158	0.6077445667
28	0.6486368051	0.6119475015
29	0.6484084494	0.6136942082
30	0.6479166047	0.6147077706
31	0.6475918598	0.6148456173
32	0.6471275356	0.614492663
33	0.6465829538	0.6144334667
34	0.6460035166	0.6154495303
35	0.6457937859	0.6156332333
36	0.6451548422	0.6162442332
37	0.6447326561	0.6177349786
38	0.6440730481	0.6184884109
39	0.643846814	0.6184488077
40	0.6434843065	0.6187289478
41	0.6433899801	0.6191925129
42	0.6430279279	0.6205280418
43	0.6428063485	0.6197437608
44	0.6425077313	0.6191190039
45	0.6422986003	0.6183274971
46	0.642141716	0.6194875215
47	0.6418148358	0.6194686232
48	0.6415128318	0.6199855483
49	0.641070531	0.620213579
50	0.6407475146	0.6209528375
51	0.6405483775	0.621205047
52	0.6400903525	0.622900478
53	0.6399834335	0.6224227391
54	0.6397387532	0.6219744595
55	0.6394261784	0.6226931521
56	0.6392176099	0.6228576788
57	0.6387942429	0.6236187538
58	0.6386184258	0.6241240064
59	0.6383667516	0.6237281141
60	0.6380831623	0.6238911122
61	0.6379216076	0.6246965149
62	0.6376377414	0.6258954477
63	0.6375687979	0.625904619
64	0.6373909241	0.6253989495
65	0.6371674691	0.6264567006
66	0.6368928793	0.6265957979
67	0.6365943284	0.6264612862
68	0.6364007139	0.6260323217
69	0.6363090439	0.6266194208
70	0.6361093315	0.6276157523
71	0.6360031793	0.6274997221
