iter	Passed	Remaining
0	3825	761282
1	8634	854789
2	12648	830580
3	16407	803979
4	20544	801250
5	25298	817986
6	29014	799958
7	32741	785786
8	37879	803883
9	41630	790987
10	45374	779621
11	50036	783907
12	54165	779152
13	57984	770360
14	62005	764731
15	66863	768927
16	70567	759640
17	74318	751437
18	79446	756832
19	83150	748355
20	86917	740872
21	91489	740233
22	95754	736897
23	99489	729592
24	103372	723608
25	108343	725067
26	112044	717914
27	115748	711024
28	120958	713239
29	124677	706505
30	128395	699962
31	132752	696949
32	137214	694386
33	140969	688264
34	144736	682331
35	149876	682772
36	153616	676745
37	157349	670806
38	162406	670448
39	166250	665003
40	170086	659602
41	174408	656108
42	178941	653344
43	182696	647743
44	186397	642037
45	191875	642367
46	195847	637546
47	199612	632104
48	204782	631062
49	208551	625654
50	212317	620300
51	216937	617438
52	221281	613744
53	225004	608346
54	228751	603071
55	233809	601224
56	237534	595920
57	241407	591031
58	246814	589843
59	251959	587905
60	255698	582658
61	259768	578193
62	264595	575389
63	268349	570242
64	272072	565074
65	277164	562727
66	280855	557519
67	284540	552343
68	289127	548923
69	293415	544915
70	297162	539915
71	301196	535461
72	306069	532476
73	309959	527769
74	313690	522816
75	318800	520148
76	322558	515256
77	326303	510371
78	330873	506780
79	335198	502797
80	338954	497970
81	342783	493273
82	347769	490229
83	351480	485377
84	355150	480497
85	360236	477522
86	364044	472839
87	367743	468036
88	372088	464065
89	376534	460209
90	380249	455463
91	383949	450723
92	389045	447611
93	392778	442920
94	396481	438216
95	401372	434819
96	405346	430419
97	409058	425754
98	413207	421554
99	417921	417921
100	421716	413365
101	425483	408798
102	430627	405542
103	434379	400966
104	438129	396402
105	442805	392676
106	446962	388481
107	450697	383927
108	454637	379559
109	459415	375885
110	463176	371376
111	466866	366823
112	471920	363336
113	475627	358806
114	479344	354297
115	483894	350406
116	488176	346312
117	491895	341825
118	495768	337455
119	500692	333794
120	504437	329343
121	508206	324919
122	513362	321373
123	517189	316987
124	521106	312664
125	526132	308998
126	531807	305684
127	535650	301303
128	539492	296929
129	544629	293261
130	548421	288863
131	552179	284456
132	557127	280658
133	561115	276370
134	564863	271971
135	569118	267820
136	573729	263831
137	577482	259448
138	581288	255098
139	586443	251332
140	590184	246956
141	593937	242594
142	598881	238714
143	602854	234443
144	606653	230110
145	610885	225943
146	615520	221922
147	619299	217591
148	623100	213275
149	628260	209420
150	631999	205085
151	635736	200758
152	640558	196772
153	644630	192551
154	648394	188243
155	652589	184063
156	657412	180055
157	661193	175760
158	664952	171465
159	670120	167530
160	674036	163275
161	677797	158989
162	682858	155004
163	686789	150758
164	690596	146490
165	695043	142358
166	699577	138239
167	703346	133970
168	707187	129720
169	713504	125912
170	718585	121865
171	722899	117681
172	727629	113560
173	731486	109302
174	735417	105059
175	740677	101001
176	744533	96747
177	748439	92503
178	753738	88427
179	757622	84180
180	761514	79937
181	767776	75933
182	771591	71677
183	775409	67426
184	780228	63261
185	784487	59047
186	788363	54805
187	792504	50585
188	797464	46413
189	802201	42221
190	806977	38025
191	811812	33825
192	815606	29581
193	819438	25343
194	824637	21144
195	828807	16914
196	832685	12680
197	837886	8463
198	841718	4229
199	845602	0
