iter	QuerySoftMax	MAP:top=5
0	4.73598107	0.4420986882
1	4.735457824	0.4860424657
2	4.734959642	0.5070057251
3	4.734473206	0.5330926574
4	4.733945982	0.5389112612
5	4.733446814	0.557640209
6	4.732977372	0.5699248235
7	4.732490665	0.5705391585
8	4.732058488	0.577443166
9	4.731599349	0.5770429659
10	4.731162878	0.5816677783
11	4.730703608	0.5831913179
12	4.730277846	0.583798288
13	4.729815773	0.5832812239
14	4.729373765	0.5844028959
15	4.728954052	0.5884342171
16	4.728547168	0.5881899283
17	4.728184322	0.5876579957
18	4.727768471	0.5915045023
19	4.727369203	0.591441832
20	4.727002551	0.5927559613
21	4.726617823	0.5947847535
22	4.726233978	0.5946157801
23	4.725880837	0.5949456673
24	4.725538738	0.5948243566
25	4.725174744	0.5986566895
26	4.724783921	0.5988459508
27	4.724433367	0.5996584403
28	4.724116679	0.6017428159
29	4.723833911	0.6016991829
30	4.723509317	0.6022828081
31	4.723199972	0.6038235785
32	4.722870595	0.6038613751
33	4.72247433	0.6044033128
34	4.722204391	0.6060449669
35	4.721877577	0.6067564338
36	4.721573222	0.6058968373
37	4.721270507	0.6070157301
38	4.720959273	0.6071691401
39	4.720702713	0.606572175
40	4.720406062	0.6071491301
41	4.720104453	0.606612195
42	4.719830052	0.6062290868
43	4.719541044	0.6074705408
44	4.719285991	0.6071270357
45	4.719002419	0.6073354733
46	4.718721562	0.6070353232
47	4.718377108	0.6056417097
48	4.718116356	0.6068478684
49	4.717844256	0.6068039575
50	4.717591911	0.6083847479
51	4.71735435	0.609522817
52	4.717121216	0.6092393419
53	4.716832186	0.6092472625
54	4.716565302	0.6089087599
55	4.716351347	0.6097958702
56	4.716066916	0.609318965
57	4.715811233	0.6098342227
58	4.71558423	0.6099081485
59	4.715357666	0.6094373576
60	4.715164415	0.6097925352
61	4.714967697	0.6103228003
62	4.714751696	0.6116984881
63	4.714539328	0.6121136957
64	4.714314826	0.6118235507
65	4.714095458	0.6132628814
66	4.713896686	0.6136968484
67	4.713726246	0.6130815408
68	4.713498422	0.6135184259
69	4.713254736	0.6137210272
70	4.71299527	0.6135466344
71	4.712797693	0.6134207381
72	4.712605569	0.6136330665
73	4.712354968	0.6131964593
74	4.712161719	0.6133903063
75	4.711959784	0.6136276472
76	4.711717418	0.6136507142
77	4.711482603	0.6133805792
78	4.711300585	0.6137274193
79	4.71114012	0.613584848
80	4.710950187	0.6135798455
81	4.710796877	0.613174365
82	4.710604254	0.6134528375
83	4.710419658	0.6135073092
84	4.710255184	0.6129782947
85	4.710057361	0.6131233672
86	4.709837223	0.6128532322
87	4.709670809	0.6132584348
88	4.709487183	0.6125097271
89	4.709330876	0.6116538825
90	4.709195325	0.6124609527
91	4.709036512	0.6128803291
92	4.70888286	0.6125585015
93	4.708701428	0.613738258
94	4.708540718	0.614178895
95	4.708332825	0.6138620699
96	4.708217933	0.6141538825
97	4.708084848	0.6142180813
98	4.707886256	0.6145265688
99	4.707757129	0.6145557501
100	4.707633782	0.6138737424
101	4.707504081	0.6141838975
102	4.707354437	0.61428228
103	4.7072166	0.6143206325
104	4.707072251	0.6141705575
105	4.706895038	0.6144048413
106	4.706785936	0.6152652715
107	4.706662714	0.6149751265
108	4.706529084	0.6153219665
109	4.706349415	0.614576177
110	4.706191353	0.6147067978
111	4.706074851	0.6149535879
112	4.705947041	0.6150647546
113	4.705829511	0.6157959535
114	4.705698681	0.6158976711
115	4.70559888	0.6155391585
116	4.705495329	0.6153298872
117	4.705375301	0.6154682897
118	4.705291573	0.6156400422
119	4.705185327	0.6159677061
120	4.705052077	0.6153457284
121	4.704913909	0.615520816
122	4.704749296	0.6150611417
123	4.704648776	0.6152829192
124	4.704547905	0.6150953254
125	4.704425607	0.6152358124
126	4.704290551	0.6152366461
127	4.704163018	0.6154275749
128	4.703999398	0.6155359624
129	4.703875037	0.6155092824
130	4.703717122	0.6154667612
131	4.703627074	0.6155568062
132	4.703524969	0.6153933911
133	4.70339953	0.6154300761
134	4.703312424	0.6150365461
135	4.703169032	0.6153366961
136	4.703074644	0.6152394253
137	4.702925036	0.6153811628
138	4.702817056	0.6154278528
139	4.702686279	0.6153895003
140	4.702577374	0.6154211828
141	4.702494039	0.6157771942
142	4.70241399	0.6161123617
143	4.702323354	0.6160973542
144	4.70223571	0.6159864655
145	4.702159651	0.6159936913
146	4.702057932	0.6161329276
147	4.70191115	0.6162012951
148	4.701827798	0.6163680451
149	4.701747281	0.6165281252
150	4.701662507	0.6167182202
151	4.701547624	0.6161579401
152	4.701413185	0.6159828525
153	4.701312157	0.61584445
154	4.701233776	0.6158961425
155	4.701168389	0.6158350008
156	4.701075623	0.6168627369
157	4.700995493	0.6170172586
158	4.70090255	0.6172654383
159	4.700808649	0.6175058363
160	4.700713683	0.6175208438
161	4.700588836	0.6176158913
162	4.700531687	0.6176275638
163	4.70042967	0.6174107887
164	4.70032818	0.6175302929
165	4.700177841	0.6172985104
166	4.700117155	0.6175919904
167	4.700029006	0.617797093
168	4.699947355	0.6175919904
169	4.699846345	0.6183348619
170	4.699711613	0.618645017
171	4.699583159	0.6186133344
172	4.699490777	0.6190260408
173	4.699374031	0.6191277583
174	4.69929623	0.6193311934
175	4.699211034	0.6191677783
176	4.699158236	0.6193445334
177	4.699065392	0.6194095659
178	4.698990825	0.6190810683
179	4.698917143	0.619653021
180	4.698772293	0.6197413985
181	4.698693956	0.6197647435
182	4.698609788	0.619993191
183	4.698525999	0.6199748485
184	4.698453701	0.6202749986
185	4.698349197	0.6206068312
186	4.698267818	0.6206760325
187	4.698204366	0.6201591073
188	4.698111392	0.6200707298
189	4.698037221	0.6200307098
190	4.697994375	0.620834445
191	4.697926349	0.6202141348
192	4.697855832	0.6198539548
193	4.697770123	0.6203076538
194	4.697677173	0.6205643099
195	4.697618499	0.6208991996
196	4.69754611	0.6204977489
197	4.697464736	0.6210897115
198	4.697389408	0.6208370852
199	4.697286969	0.6205513868
200	4.69719654	0.6204052026
201	4.697129611	0.6204346618
202	4.697037052	0.6203529543
203	4.696948372	0.6202879217
204	4.69686435	0.6201812017
205	4.696783055	0.6204613418
206	4.696651198	0.6200761492
207	4.696547155	0.6198493691
208	4.696500759	0.6203446168
209	4.696461243	0.6202262242
210	4.696342795	0.6202933411
211	4.696271483	0.6205593074
212	4.696160921	0.6205188705
213	4.696071415	0.620283753
214	4.695978833	0.6204788505
215	4.695886329	0.6202062142
216	4.695808729	0.6202395642
217	4.695709172	0.6203045967
218	4.695628564	0.6207231393
219	4.695553271	0.6205547218
220	4.695505585	0.6206072481
221	4.695426407	0.6206789506
222	4.695348847	0.620140348
223	4.695282212	0.6194166528
224	4.695209438	0.6197118003
225	4.695092494	0.6195767328
226	4.695034459	0.6197668279
227	4.694976203	0.6195975766
228	4.69492029	0.6200844867
229	4.694859321	0.6204313268
230	4.694770203	0.6202045467
231	4.694700026	0.6205092824
232	4.694638389	0.6205376299
233	4.69458739	0.6204609249
234	4.694541305	0.6202825024
235	4.694485213	0.6202491524
236	4.694405442	0.620807765
237	4.694319249	0.6211729476
238	4.694262663	0.6213100995
239	4.694184379	0.6208302762
240	4.694127128	0.6209194875
241	4.694070465	0.6206960425
242	4.694030193	0.6213130176
243	4.693968946	0.6211912901
244	4.693913176	0.6212729976
245	4.693879927	0.6214005614
246	4.69379671	0.6213338614
247	4.693740961	0.6216698627
248	4.693670274	0.6218149352
249	4.693613346	0.6221117503
250	4.693556129	0.6216631927
251	4.693481917	0.6218082652
252	4.693429287	0.6225044467
