iter	Passed	Remaining
0	217	1522233
1	445	1557221
2	653	1525286
3	858	1501501
4	1075	1504953
5	1287	1500638
6	1530	1529366
7	1739	1520579
8	1955	1518747
9	2164	1513044
10	2390	1518568
11	2598	1513338
12	2811	1511174
13	3023	1508959
14	3246	1511562
15	3474	1516778
16	3689	1515431
17	3892	1509760
18	4106	1508919
19	4323	1508858
20	4547	1511263
21	4758	1509411
22	5015	1521498
23	5342	1552871
24	5718	1595511
25	6113	1639811
26	6503	1679475
27	6950	1730605
28	7429	1785933
29	8133	1889637
30	8741	1965167
31	9250	2014322
32	9585	2023624
33	9814	2010782
34	10030	1995977
35	10234	1979829
36	10458	1968146
37	10678	1956392
38	10899	1945390
39	11118	1934571
40	11333	1923598
41	11555	1914367
42	11780	1906020
43	11981	1894177
44	12184	1883156
45	12408	1875799
46	12605	1864774
47	12825	1857605
48	13026	1847928
49	13227	1838648
50	13451	1832780
51	13662	1825494
52	13872	1818311
53	14074	1810410
54	14272	1802231
55	14498	1797803
56	14705	1791232
57	14930	1787079
58	15141	1781308
59	15359	1776559
60	15558	1769865
61	15765	1764251
62	15995	1761310
63	16205	1756267
64	16423	1752238
65	16647	1748973
66	16851	1743720
67	17078	1740973
68	17285	1736312
69	17510	1733505
70	17724	1729728
71	17948	1727020
72	18154	1722657
73	18374	1719792
74	18576	1715247
75	18775	1710576
76	18985	1707002
77	19184	1702496
78	19399	1699544
79	19675	1701896
80	20003	1708715
81	20322	1714564
82	20644	1720469
83	20990	1728219
84	21355	1737346
85	21684	1743360
86	22092	1755485
87	22444	1762910
88	22787	1769489
89	23129	1775811
90	23487	1783260
91	23829	1789260
92	24097	1789715
93	24314	1786353
94	24537	1783488
95	24741	1779308
96	24942	1775003
97	25139	1770522
98	25353	1767308
99	25579	1764979
100	25781	1761073
101	26001	1758420
102	26200	1754440
103	26418	1751767
104	26638	1749280
105	26847	1746080
106	27052	1742718
107	27248	1738829
108	27473	1736883
109	27678	1733662
110	27884	1730598
111	28101	1728235
112	28320	1726032
113	28551	1724625
114	28754	1721531
115	28948	1717925
116	29141	1714363
117	29343	1711380
118	29564	1709505
119	29763	1706413
120	29965	1703592
121	30158	1700261
122	30350	1696922
123	30584	1695944
124	30798	1693907
125	31000	1691237
126	31193	1688126
127	31395	1685566
128	31636	1685096
129	31843	1682809
130	32045	1680308
131	32240	1677462
132	32450	1675487
133	32676	1674287
134	32872	1671650
135	33084	1669785
136	33286	1667469
137	33516	1666598
138	33739	1665366
139	33975	1664787
140	34289	1668013
141	34675	1674674
142	35008	1678705
143	35363	1683679
144	35726	1689022
145	36086	1694078
146	36466	1700016
147	36832	1705254
148	37169	1709037
149	37530	1713878
150	37904	1719274
151	38212	1721586
152	38428	1719721
153	38633	1717419
154	38871	1716623
155	39065	1713883
156	39264	1711365
157	39468	1709134
158	39666	1706637
159	39904	1705934
160	40111	1703881
161	40324	1702074
162	40518	1699528
163	40715	1697123
164	40961	1696781
165	41167	1694827
166	41354	1692079
167	41573	1690643
168	41773	1688500
169	42008	1687773
170	42221	1686145
171	42418	1683909
172	42628	1682215
173	42856	1681257
174	43065	1679537
175	43277	1677996
176	43466	1675556
177	43670	1673713
178	43897	1672777
179	44105	1671114
180	44314	1669497
181	44527	1668073
182	44726	1666106
183	44956	1665354
184	45166	1663830
185	45369	1662079
186	45566	1660122
187	45766	1658289
188	46002	1657780
189	46206	1656136
190	46392	1653842
191	46604	1652531
192	46805	1650810
193	47035	1650116
194	47254	1649064
195	47451	1647236
196	47653	1645614
197	47866	1644370
198	48129	1644851
199	48476	1648207
200	48853	1652500
201	49241	1657141
202	49610	1661094
203	49969	1664686
204	50402	1670654
205	50752	1673860
206	51113	1677362
207	51492	1681429
208	51787	1682730
209	52108	1684848
210	52469	1688225
211	52664	1686259
212	52872	1684725
213	53083	1683305
214	53329	1682975
215	53552	1681943
216	53765	1680598
217	53970	1679034
218	54173	1677386
219	54410	1676825
220	54619	1675419
221	54838	1674303
222	55040	1672697
223	55242	1671078
224	55476	1670455
225	55685	1669096
226	55893	1667685
227	56098	1666226
228	56323	1665359
229	56556	1664721
230	56770	1663557
231	56981	1662276
232	57190	1660986
233	57446	1661039
234	57644	1659422
235	57852	1658104
236	58087	1657589
237	58316	1656872
238	58565	1656743
239	58789	1655892
240	58986	1654315
241	59179	1652627
242	59403	1651799
243	59618	1650744
244	59828	1649552
245	60015	1647743
246	60209	1646141
247	60448	1645758
248	60670	1644915
249	60883	1643843
250	61076	1642246
251	61287	1641149
252	61540	1641159
253	61747	1639950
254	61940	1638384
255	62143	1637082
256	62347	1635843
257	62690	1638220
258	63001	1639749
259	63347	1642156
260	63762	1646340
261	64116	1648923
262	64455	1651079
263	64843	1654499
264	65215	1657468
265	65807	1665956
266	66468	1676158
267	66967	1682181
268	67243	1682598
269	67527	1683189
270	67795	1683373
271	68161	1685988
272	68487	1687603
273	68714	1686768
274	68970	1686637
275	69258	1687309
276	69733	1692476
277	70234	1698262
278	70535	1699162
279	70904	1701710
280	71394	1707112
281	71790	1710250
282	72249	1714847
283	72741	1720192
284	73219	1725153
285	73873	1734207
286	74417	1740633
287	74930	1746306
288	75403	1750972
289	75608	1749413
290	75815	1747936
291	76023	1746449
292	76242	1745242
293	76463	1744097
294	76664	1742487
295	76868	1740968
296	77119	1740506
297	77504	1743063
298	77902	1745910
299	78250	1747603
300	78589	1749080
301	78958	1751203
302	79318	1753131
303	79682	1755112
304	80039	1756935
305	80420	1759258
306	80834	1762299
307	81175	1763715
308	81470	1764142
309	81705	1763257
310	81894	1761386
311	82090	1759678
312	82292	1758110
313	82511	1756911
314	82735	1755832
315	82949	1754547
316	83161	1753208
317	83354	1751482
318	83603	1750963
319	83867	1750728
320	84069	1749213
321	84275	1747798
322	84466	1746076
323	84688	1744997
324	84941	1744561
325	85137	1742963
326	85355	1741822
327	85582	1740876
328	85788	1739495
329	86013	1738515
330	86218	1737125
331	86434	1735981
332	86660	1735035
333	86885	1734072
334	87085	1732606
335	87287	1731192
336	87487	1729756
337	87699	1728565
338	87936	1727856
339	88135	1726428
340	88349	1725285
341	88545	1723781
342	88771	1722900
343	89006	1722179
344	89214	1720930
345	89414	1719546
346	89636	1718586
347	89861	1717695
348	90091	1716904
349	90314	1715981
350	90517	1714671
351	90729	1713557
352	90950	1712604
353	91186	1711944
354	91487	1712484
355	91833	1713880
356	92198	1715608
357	92557	1717224
358	92916	1718823
359	93289	1720681
360	93638	1722062
361	93976	1723254
362	94358	1725227
363	94675	1726010
364	95009	1727095
365	95583	1732524
366	95924	1733689
367	96130	1732443
368	96344	1731325
369	96593	1730858
370	96791	1729468
371	97023	1728686
372	97232	1727512
373	97447	1726443
374	97685	1725779
375	97882	1724395
376	98102	1723432
377	98316	1722356
378	98535	1721384
379	98778	1720820
380	98991	1719742
381	99197	1718556
382	99394	1717217
383	99594	1715931
384	99827	1715222
385	100039	1714155
386	100232	1712759
387	100438	1711587
388	100645	1710456
389	100893	1710019
390	101114	1709120
391	101309	1707793
392	101519	1706723
393	101743	1705888
394	101967	1705046
395	102190	1704204
396	102388	1702954
397	102584	1701657
398	102814	1700956
399	103030	1700000
400	103281	1699644
401	103525	1699164
402	103756	1698464
403	103985	1697740
404	104189	1696610
405	104390	1695450
406	104588	1694223
407	104807	1693358
408	105053	1692935
409	105277	1692137
410	105502	1691373
411	105703	1690229
412	106022	1690975
413	106343	1691731
414	106700	1693060
415	107114	1695292
416	107519	1697369
417	107863	1698457
418	108264	1700447
419	108591	1701268
420	108936	1702356
421	109286	1703520
422	109679	1705346
423	110026	1706445
424	110357	1707288
425	110585	1706551
426	110804	1705667
427	111004	1704494
428	111210	1703407
429	111473	1703207
430	111693	1702355
431	111881	1701015
432	112074	1699746
433	112268	1698515
434	112511	1698019
435	112713	1696902
436	112909	1695702
437	113121	1694760
438	113325	1693681
439	113586	1693470
440	113786	1692352
441	113969	1690981
442	114174	1689939
443	114364	1688684
444	114634	1688600
445	114837	1687548
446	115047	1686596
447	115259	1685669
448	115469	1684724
449	115731	1684535
450	115931	1683450
451	116133	1682393
452	116335	1681350
453	116580	1680923
454	116785	1679918
455	116979	1678752
456	117178	1677677
457	117396	1676871
458	117621	1676167
459	117857	1675619
460	118072	1674781
461	118290	1673985
462	118485	1672877
463	118731	1672471
464	118937	1671521
465	119137	1670477
466	119326	1669297
467	119520	1668179
468	119760	1667704
469	119952	1666574
470	120163	1665708
471	120449	1665884
472	120836	1667437
473	121210	1668812
474	121536	1669527
475	121951	1671456
476	122246	1671731
477	122567	1672347
478	122944	1673733
479	123352	1675537
480	123742	1677083
481	124156	1678948
482	124499	1679847
483	124787	1679991
484	124995	1679059
485	125222	1678389
486	125431	1677484
487	125624	1676370
488	125845	1675622
489	126062	1674829
490	126310	1674454
491	126512	1673457
492	126712	1672449
493	126916	1671494
494	127125	1670605
495	127389	1670450
496	127585	1669397
497	127799	1668575
498	128008	1667700
499	128223	1666911
500	128483	1666695
501	128677	1665633
502	128882	1664705
503	129102	1663985
504	129327	1663329
505	129574	1662954
506	129767	1661890
507	129979	1661076
508	130199	1660366
509	130439	1659905
510	130654	1659133
511	130853	1658160
512	131043	1657068
513	131292	1656743
514	131547	1656471
515	131753	1655595
516	131971	1654874
