iter	QuerySoftMax	MAP:top=5
0	4.724522657	0.4439521149
1	4.722072416	0.4940310433
2	4.719965564	0.5228454505
3	4.717960912	0.5478020955
4	4.715929189	0.5637007393
5	4.714322451	0.5744896059
6	4.712679063	0.5763975043
7	4.71082791	0.5786743372
8	4.709433757	0.5806428214
9	4.707871729	0.5826642488
10	4.706682181	0.5869733478
11	4.705267354	0.5873600689
12	4.704136662	0.5882017398
13	4.703058159	0.588194236
14	4.702249936	0.5975226502
15	4.701449999	0.6000261242
16	4.700739989	0.6037742482
17	4.700081042	0.6045688122
18	4.699280753	0.6049323273
19	4.698524992	0.6056721416
20	4.697784519	0.6063066255
21	4.697178799	0.6078729643
22	4.696314942	0.607903952
23	4.695659772	0.6070535268
24	4.695130269	0.6073143516
25	4.694329045	0.6076959313
26	4.693636962	0.6091202546
27	4.693075223	0.6100782336
28	4.692664995	0.6122960091
29	4.692081911	0.6134782669
30	4.691504454	0.6143549553
31	4.691094333	0.6131697793
32	4.690666121	0.6142728309
33	4.690139509	0.6141377633
34	4.689582025	0.6147176366
35	4.689251752	0.6157318937
36	4.688818558	0.6167685232
37	4.688372008	0.6152913957
38	4.688177015	0.6159172642
39	4.68787091	0.6175230671
40	4.68750339	0.6163294147
41	4.687168263	0.6167329498
42	4.686916211	0.6172748874
43	4.686595097	0.6174954144
44	4.68626949	0.6176482686
45	4.686078008	0.6180984937
46	4.685883463	0.6187704964
47	4.68551505	0.6191245623
48	4.685176055	0.6184442221
49	4.684842464	0.6194547274
50	4.68450847	0.6199207937
51	4.684186244	0.6223607637
52	4.683945703	0.6213424768
53	4.683623188	0.6200737869
54	4.683373978	0.6207674671
55	4.683185207	0.6202422044
56	4.682871925	0.6208808571
57	4.68264031	0.620447307
58	4.68237787	0.6196541326
59	4.682198328	0.6201518815
60	4.682025893	0.6199355233
61	4.681732674	0.6196003557
62	4.681372243	0.6200351565
63	4.681161447	0.6206721416
64	4.680960015	0.6204436941
65	4.680707734	0.6203903341
66	4.680492504	0.6202285865
67	4.680297294	0.6202579067
68	4.680086641	0.6214359958
69	4.679679359	0.62156884
70	4.679439491	0.6215243733
71	4.679154262	0.6225127842
72	4.678883376	0.6236687788
73	4.678591773	0.6236195876
74	4.678406955	0.6248527041
75	4.678262055	0.6256456006
76	4.677852981	0.6262725807
77	4.677687912	0.6257452337
78	4.677551018	0.6256668612
79	4.67728672	0.6260370463
80	4.67712295	0.6251093602
81	4.676943754	0.6253789395
82	4.676726379	0.6251593852
83	4.676556581	0.6251527152
84	4.676364261	0.6246933189
85	4.676150271	0.6250646156
86	4.675978615	0.6251796732
87	4.675838347	0.6263057918
88	4.675693917	0.6260106442
89	4.675585297	0.6263491468
90	4.6754912	0.6275764271
91	4.675389769	0.6280516647
92	4.675254434	0.6283784948
93	4.674996921	0.6287670224
94	4.674782393	0.6285463565
95	4.674618086	0.6297778056
96	4.67451956	0.6304685676
97	4.674354464	0.6307683008
98	4.674230921	0.6305896004
99	4.674112161	0.6311626647
100	4.673996046	0.6309319938
101	4.673872035	0.6307619087
102	4.673706446	0.6305882108
103	4.673526656	0.6307903952
104	4.673408355	0.6313181591
105	4.67332416	0.6314794897
106	4.673074212	0.6318955311
107	4.672958205	0.6314436385
108	4.672872346	0.6324152354
109	4.672774648	0.6323085154
110	4.672617921	0.632483186
111	4.672546454	0.6324887444
112	4.67235585	0.6329289645
113	4.672241865	0.6325621144
114	4.672142682	0.6323383914
115	4.671962676	0.6321210605
116	4.671858484	0.6323578456
117	4.67172227	0.6326213107
118	4.671520029	0.6323595131
119	4.671397933	0.632990662
120	4.671288877	0.633170752
121	4.671122636	0.6335334334
122	4.671046129	0.6336534934
123	4.670961716	0.6338160747
124	4.670800223	0.6334967484
125	4.670714157	0.6337668834
126	4.670582483	0.6341009394
127	4.670506082	0.6345011395
128	4.670435427	0.634622867
129	4.670386236	0.634476127
130	4.67027217	0.634489467
131	4.670140683	0.634616197
132	4.670073003	0.6351472959
133	4.670026705	0.6353440609
134	4.66994415	0.6361997665
135	4.669791256	0.6363360847
136	4.669677057	0.6361793397
137	4.669563597	0.6362527097
138	4.669454102	0.6360651159
139	4.669362093	0.6358800233
140	4.669268888	0.6360610861
141	4.669223065	0.6361144461
