iter	Passed	Remaining
0	342	1714278
1	759	1898597
2	1135	1891188
3	1540	1924651
4	1903	1901912
5	2305	1918827
6	2706	1930824
7	3085	1925628
8	3444	1910240
9	3807	1899806
10	4195	1902742
11	4581	1904209
12	4804	1843106
13	5032	1792344
14	5253	1746055
15	5467	1703250
16	5688	1667298
17	5904	1634188
18	6135	1608425
19	6353	1582017
20	6567	1557149
21	6786	1535682
22	6998	1514310
23	7229	1498964
24	7442	1481055
25	7670	1467491
26	7894	1454016
27	8106	1439423
28	8328	1427548
29	8540	1414898
30	8771	1405940
31	8979	1394119
32	9213	1386792
33	9433	1377895
34	9656	1369796
35	9882	1362673
36	10108	1355950
37	10336	1349678
38	10537	1340407
39	10752	1333284
40	10992	1329583
41	11208	1323088
42	11442	1319111
43	11663	1313785
44	11895	1309875
45	12129	1306291
46	12352	1301690
47	12571	1296956
48	12779	1291290
49	13002	1287295
50	13220	1282879
51	13467	1281518
52	13671	1276062
53	13891	1272343
54	14100	1267730
55	14305	1262980
56	14556	1262350
57	14939	1272965
58	15381	1288153
59	15732	1295303
60	16143	1307108
61	16530	1316584
62	16960	1329140
63	17317	1335579
64	17679	1342261
65	18048	1349231
66	18387	1353789
67	18772	1361555
68	19019	1359172
69	19242	1355237
70	19471	1351791
71	19714	1349379
72	19923	1344721
73	20150	1341364
74	20347	1336121
75	20556	1331840
76	20810	1330527
77	21044	1327961
78	21245	1323418
79	21459	1319784
80	21729	1319618
81	21980	1318288
82	22380	1325871
83	22961	1343780
84	23348	1350088
85	23866	1363711
86	24702	1394953
87	25449	1420520
88	26161	1443573
89	26890	1467050
90	27544	1485911
91	28285	1508957
92	29484	1555719
93	30903	1612893
94	31779	1640822
95	32454	1657888
96	33015	1668815
97	33572	1679292
98	33807	1673637
99	34008	1666403
100	34253	1661460
101	34475	1655494
102	34683	1648980
103	34908	1643399
104	35119	1637218
105	35337	1631532
106	35563	1626290
107	35791	1621214
108	35999	1615356
109	36200	1609276
110	36432	1604669
111	36640	1599091
112	36855	1593901
113	37061	1588463
114	37290	1584050
115	37544	1580734
116	37750	1575529
117	37971	1571009
118	38202	1566956
119	38445	1563460
120	38661	1558901
121	38885	1554797
122	39086	1549777
123	39301	1545455
124	39555	1542659
125	39754	1537812
126	39967	1533542
127	40176	1529217
128	40384	1524893
129	40609	1521287
130	40807	1516732
131	41021	1512821
132	41241	1509190
133	41472	1505994
134	41693	1502501
135	41918	1499195
136	42131	1495520
137	42354	1492219
138	42612	1490218
139	42815	1486319
140	43033	1482963
141	43244	1479449
142	43461	1476182
143	43810	1477400
144	44140	1477932
145	44551	1481185
146	44963	1484396
147	45301	1485140
148	45700	1487864
149	46057	1489182
150	46407	1490261
151	46834	1493769
152	47190	1494996
153	47486	1494272
154	47891	1497011
155	48130	1494505
156	48340	1491160
157	48567	1488382
158	48802	1485880
159	49017	1482767
160	49228	1479594
161	49446	1476693
162	49661	1473702
163	49914	1471881
164	50107	1468294
165	50318	1465294
166	50530	1462353
167	50771	1460273
168	50992	1457672
169	51230	1455552
170	51443	1452764
171	51649	1449788
172	51904	1448234
173	52294	1450430
174	52669	1452173
175	53018	1453192
176	53264	1451371
177	53968	1462007
178	54513	1468220
179	55070	1474674
180	55704	1483084
181	56030	1483267
182	56296	1481867
183	56608	1481664
184	56996	1483443
185	57591	1490555
186	58420	1503622
187	59405	1520537
188	60239	1533401
189	61204	1549437
190	62136	1564460
191	63121	1580674
192	63567	1583251
193	63813	1580875
194	64163	1581046
195	64624	1583970
196	64837	1580794
197	65125	1579446
198	65358	1576816
199	65820	1579692
200	66400	1585350
201	67053	1592679
202	67695	1599678
203	68075	1600436
204	68289	1597317
205	68642	1597427
206	69105	1600100
207	69326	1597167
208	69638	1596344
209	69969	1595982
210	70216	1593676
211	70478	1591742
212	70823	1591710
213	71495	1598953
214	72024	1602957
215	72569	1607285
216	73171	1612815
217	74629	1637059
218	75273	1643298
219	75877	1648611
220	76577	1655942
221	77339	1664531
222	78165	1674428
223	78754	1679155
224	79342	1683820
225	79707	1683739
226	79924	1680527
227	80137	1677265
228	80369	1674413
229	80615	1671904
230	80848	1669115
231	81074	1666215
232	81293	1663200
233	81537	1660707
234	81769	1658007
235	81967	1654635
236	82215	1652282
237	82620	1653113
238	83037	1654156
239	83436	1654826
240	83787	1654536
241	84025	1652029
242	84327	1650812
243	84637	1649729
244	85046	1650594
245	85350	1649408
246	85745	1649987
247	86115	1650076
248	86873	1657567
249	87108	1655068
250	87325	1652231
251	87543	1649423
252	87765	1646727
253	88081	1645802
254	88462	1646088
255	88839	1646303
256	89212	1646440
257	89630	1647395
258	90029	1647998
259	90449	1648964
260	90856	1649686
261	91256	1650287
262	91631	1650413
263	91969	1649868
264	92386	1650762
265	92657	1649027
266	92864	1646163
267	93067	1643264
268	93296	1640834
269	93521	1638350
270	93734	1635691
271	93927	1632674
272	94191	1630921
273	94391	1628089
274	94595	1625316
275	94828	1623087
276	95044	1620553
277	95301	1618753
278	95520	1616315
279	95743	1613961
280	95947	1611297
281	96182	1609185
282	96431	1607301
283	96664	1605171
284	96887	1602895
285	97113	1600676
286	97371	1598992
287	97592	1596715
288	97827	1594682
289	98028	1592113
290	98251	1589911
291	98512	1588340
292	98747	1586358
293	98979	1584340
294	99191	1582016
295	99435	1580212
296	99632	1577674
297	99852	1575527
298	100066	1573283
299	100279	1571041
300	100515	1569184
301	100730	1567000
302	100978	1565331
303	101175	1562897
304	101410	1561055
305	101623	1558889
306	101855	1557032
307	102078	1555035
308	102295	1552966
309	102612	1552421
310	103032	1553436
311	103445	1554333
312	103808	1554476
313	104172	1554629
314	104530	1554678
315	104903	1554962
316	105247	1554803
317	105644	1555432
318	106048	1556160
319	106383	1555863
320	106770	1556327
321	107088	1555777
322	107293	1553600
323	107501	1551466
324	107730	1549655
325	107938	1547562
326	108163	1545719
327	108385	1543831
328	108584	1541635
329	108852	1540424
330	109058	1538347
331	109285	1536582
332	109484	1534424
333	109686	1532325
334	109931	1530844
335	110151	1529007
336	110385	1527385
337	110609	1525624
338	110866	1524335
339	111072	1522344
340	111289	1520514
341	111504	1518682
342	111715	1516788
343	111942	1515134
344	112173	1513529
345	112401	1511902
346	112627	1510250
347	112838	1508409
348	113094	1507167
349	113327	1505637
350	113544	1503904
351	113763	1502189
352	113991	1500618
353	114210	1498926
354	114454	1497583
355	114687	1496094
356	114902	1494378
357	115185	1493555
358	115440	1492362
359	115652	1490638
360	115870	1488982
361	116106	1487575
362	116346	1486224
363	116556	1484490
364	116771	1482834
365	117027	1481703
366	117406	1482139
