iter	RMSE	MAP:top=5
0	0.8217786591	0.384008532
1	0.8145460136	0.4033422267
2	0.808344849	0.5115939914
3	0.803031254	0.5273653493
4	0.7986159677	0.5548522873
5	0.794871483	0.5755515258
6	0.791413775	0.5829867712
7	0.7884953238	0.5868853871
8	0.7859503955	0.5881597743
9	0.783563607	0.5975407148
10	0.7815125136	0.6016113612
11	0.7794729725	0.6058530654
12	0.7779038432	0.6094370797
13	0.776371858	0.6102617976
14	0.7750219566	0.6112128286
15	0.7736515455	0.6144506976
16	0.7723941652	0.6150837919
17	0.7713263807	0.6169643155
18	0.7702446425	0.6185339892
19	0.7694097262	0.6189981102
20	0.7685707275	0.6208686288
21	0.7677097947	0.6212848091
22	0.7669677119	0.624445973
23	0.7663277001	0.6247554333
24	0.7657128955	0.6248288033
25	0.7650891806	0.6256615808
26	0.7645283211	0.6268146573
27	0.7639953334	0.6270872936
28	0.7633686855	0.6269662609
29	0.7628611476	0.6283069312
30	0.762265762	0.6290156189
31	0.7617450731	0.6295992441
32	0.7612506471	0.6312571564
33	0.7608502162	0.6318129898
34	0.76034771	0.6314361347
35	0.7600421851	0.6313905564
36	0.7596648823	0.6314672614
37	0.7592200178	0.6323557612
38	0.75869743	0.6324720694
39	0.7583535175	0.6325320994
40	0.7580247527	0.6321241176
41	0.7577236543	0.6337891168
42	0.7573372189	0.6344741815
43	0.7569745038	0.6335991607
44	0.7566652246	0.6331789506
45	0.756433051	0.6340060308
46	0.7561396768	0.6345251793
47	0.7559004116	0.6361443222
48	0.7555090856	0.6360476071
49	0.7552222	0.6363744372
50	0.7549796527	0.6377551276
51	0.754744527	0.6386155578
52	0.7544069405	0.6393095159
53	0.7542351606	0.6397161081
54	0.7540272045	0.6394801567
55	0.7538585807	0.6395303207
56	0.7536284824	0.6396909566
57	0.7534015825	0.6402731922
58	0.7531989805	0.6404745428
59	0.7529784824	0.6404156245
60	0.7527897944	0.640934634
61	0.7525261903	0.6423903618
62	0.7523582546	0.6426805069
63	0.7521977625	0.642907287
64	0.7520045517	0.6426604969
65	0.751817992	0.642376605
66	0.7515694015	0.643601384
67	0.7514316807	0.6432192485
68	0.7512051871	0.6443160469
69	0.7510342296	0.6448090712
70	0.7508427882	0.6456219777
71	0.7506183132	0.6453476738
72	0.7504779178	0.6454744039
73	0.7503409157	0.645807904
74	0.750210212	0.6460863765
75	0.750027616	0.6468196598
76	0.7499080026	0.6466158079
77	0.7497336479	0.6469768217
78	0.7495905687	0.6473853593
79	0.7493219584	0.6477743038
80	0.7492097935	0.6480431883
81	0.7490378345	0.6476646657
82	0.7488571042	0.64813768
83	0.7487794014	0.6479281307
84	0.748663077	0.6484667334
85	0.7485201309	0.649052026
86	0.7483240623	0.6490161748
87	0.7482329358	0.6492051581
88	0.7480679493	0.6499030071
89	0.7479325126	0.6498004558
90	0.7477957826	0.6506128064
91	0.7476375509	0.6510130065
92	0.7475257082	0.6515771775
93	0.7473870529	0.651592185
94	0.7472740964	0.6518610694
95	0.7471555322	0.6517632427
96	0.7470212311	0.6519090101
97	0.7469135177	0.6512497916
98	0.7466975233	0.6514465566
99	0.7465020432	0.6513793008
100	0.7463286176	0.6511425157
101	0.7461973458	0.6509724307
102	0.7460357243	0.6514604524
103	0.7458464317	0.6504649547
104	0.7456724796	0.6507000723
105	0.7455909045	0.6510735924
106	0.7454995138	0.6512236674
107	0.7454073832	0.651118059
108	0.7453243406	0.6510196765
109	0.7452023847	0.6510872103
110	0.7449902891	0.6510488578
111	0.7448755278	0.6509329665
112	0.7447484475	0.6515932966
113	0.7446001881	0.6518667667
114	0.7443961638	0.6524087044
115	0.7442331387	0.6530918237
116	0.7441255529	0.6531668612
117	0.7439976005	0.6534453338
118	0.7438331784	0.6537446501
119	0.7436449328	0.6539382191
120	0.7435564111	0.6542183592
121	0.7433976811	0.6545005836
122	0.7433042796	0.6544668167
123	0.7431800561	0.6548686843
124	0.7430369435	0.6554956645
125	0.7428142414	0.6552126063
126	0.7426974805	0.6554068701
127	0.7425465319	0.655554027
128	0.7424453987	0.6557924796
129	0.7422854506	0.6559037852
130	0.742122176	0.656525346
131	0.7419962932	0.6568505086
132	0.741870476	0.6568719082
133	0.7417154357	0.6567671336
134	0.7415380755	0.6572505697
135	0.7414230135	0.6575821244
136	0.7412531746	0.6576029682
137	0.7410521398	0.6574342727
138	0.7408308202	0.6578186315
139	0.7407047385	0.6584360236
140	0.7405340984	0.6587745262
141	0.7403803208	0.6591486021
142	0.7402228121	0.6589040354
143	0.7401141271	0.6591641654
144	0.7400066458	0.6593503696
145	0.7398746454	0.6593737146
146	0.7397270139	0.6597347285
147	0.7395971612	0.6593178534
148	0.7394789032	0.6599915235
149	0.7393469628	0.6605820966
150	0.7391936632	0.6599780446
151	0.7390767598	0.6604812128
152	0.7389543762	0.6605420766
153	0.7388662451	0.6607638541
154	0.7386571709	0.6615642543
155	0.7385456344	0.6614623979
156	0.738422506	0.6615290979
157	0.7382632638	0.6613477572
158	0.7380950908	0.6616379023
159	0.737999855	0.6622793341
160	0.7378224048	0.6621492691
161	0.7376777804	0.6626195042
