iter	Passed	Remaining
0	165	663674
1	309	618230
2	469	625160
3	614	613854
4	762	609174
5	935	622878
6	1090	622209
7	1230	614204
8	1391	616931
9	1558	621783
10	1720	623886
11	1879	624590
12	2020	619666
13	2169	617548
14	2313	614561
15	2467	614391
16	2614	612669
17	2762	611104
18	2930	614117
19	3091	615169
20	3226	611348
21	3390	612996
22	3521	608910
23	3641	603273
24	3764	598528
25	3910	597642
26	4045	595275
27	4184	593535
28	4422	605562
29	4652	615629
30	4934	631764
31	5216	646841
32	5502	661409
33	5755	671305
34	6067	687358
35	6293	692942
36	6557	702388
37	6795	708497
38	7093	720403
39	7346	727346
40	7584	732350
41	7819	736863
42	8098	745259
43	8383	753724
44	8521	748942
45	8634	742182
46	8776	738183
47	8923	734673
48	9086	732641
49	9230	729246
50	9354	724342
51	9474	719316
52	9620	716431
53	9743	711984
54	9872	708102
55	9991	703676
56	10141	701561
57	10290	699424
58	10431	696765
59	10567	693958
60	10699	690934
61	10836	688308
62	10958	684804
63	11108	683162
64	11267	682140
65	11394	679180
66	11538	677331
67	11677	675251
68	11793	671908
69	11914	668920
70	12093	669204
71	12262	668969
72	12397	666908
73	12533	664948
74	12667	662944
75	12780	659885
76	12912	657841
77	13052	656282
78	13178	654074
79	13344	653881
80	13473	651885
81	13610	650325
82	13742	648550
83	13882	647192
84	14010	645298
85	14134	643276
86	14299	643136
87	14429	641467
88	14560	639833
89	14699	638610
90	14828	636958
91	14965	635721
92	15114	634965
93	15250	633714
94	15379	632167
95	15502	630443
96	15636	629173
97	15749	627104
98	15889	626090
99	16061	626411
100	16174	624385
101	16319	623649
102	16460	622797
103	16611	622290
104	16761	621775
105	16889	620439
106	17014	619028
107	17141	617740
108	17257	616028
109	17398	615262
110	17538	614463
111	17659	613021
112	17793	612052
113	17917	610780
114	18046	609663
115	18206	609596
116	18322	608076
117	18596	611799
118	18832	614189
119	19127	618448
120	19353	620429
121	19594	622848
122	19829	625029
123	20079	627639
124	20399	632384
125	20725	637219
126	20970	639502
127	21259	643113
128	21495	645040
129	21782	648441
130	22061	651564
131	22344	654749
132	22604	657236
133	22741	656116
134	22892	655397
135	23023	654140
136	23171	653364
137	23350	653486
138	23491	652519
139	23643	651877
140	23800	651382
141	23921	649919
142	24036	648315
143	24176	647405
144	24335	647000
145	24455	645548
146	24594	644636
147	24733	643739
148	24859	642501
149	24981	641203
150	25102	639867
151	25224	638575
152	25393	638478
153	25504	636944
154	25671	636822
155	25821	636268
156	25962	635511
157	26118	635105
158	26259	634358
159	26413	633927
160	26547	633027
161	26704	632663
162	26839	631794
163	26975	630960
164	27134	630661
165	27284	630171
166	27455	630166
167	27584	629186
168	27717	628309
169	27864	627766
170	28015	627320
171	28149	626492
172	28267	625307
173	28413	624780
174	28559	624221
175	28709	623781
176	28865	623465
177	28998	622663
178	29101	621221
179	29237	620485
180	29412	620580
181	29551	619932
182	29665	618766
183	29808	618198
184	29943	617475
185	30078	616771
186	30212	616044
187	30346	615313
188	30495	614911
189	30621	614043
190	30760	613442
191	30899	612834
192	31067	612819
193	31244	612978
194	31413	612962
195	31542	612186
196	31683	611640
197	31823	611075
198	31952	610314
199	32083	609577
200	32247	609500
201	32396	609109
202	32597	609721
203	32863	611522
204	33136	613431
205	33405	615241
206	33698	617486
207	33927	618521
208	34177	619940
209	34400	620838
210	34651	622255
211	34950	624501
212	35202	625878
213	35428	626785
214	35775	629813
215	36059	631717
216	36302	632866
217	36587	634747
218	36847	636158
219	36966	635154
220	37098	634371
221	37239	633749
222	37390	633289
223	37528	632622
224	37701	632545
225	37858	632200
226	37979	631260
227	38116	630595
228	38290	630545
229	38439	630080
230	38574	629386
231	38733	629082
232	38879	628582
233	38999	627655
234	39137	627032
235	39251	626026
236	39398	625552
237	39511	624552
238	39643	623840
239	39782	623256
240	39927	622775
241	40067	622199
242	40216	621780
243	40377	621554
244	40526	621125
245	40668	620610
246	40822	620271
247	40958	619664
248	41113	619337
249	41253	618796
250	41398	618341
251	41559	618117
252	41693	617488
253	41857	617309
254	41983	616578
255	42094	615630
256	42256	615434
257	42384	614738
258	42539	614442
259	42664	613705
260	42819	613421
261	42968	613038
262	43117	612666
263	43262	612229
264	43399	611690
265	43554	611396
266	43666	610512
267	43829	610337
268	43947	609553
269	44067	608789
270	44192	608096
271	44327	607542
272	44447	606797
273	44574	606144
274	44692	605374
275	44854	605206
276	45005	604891
277	45137	604319
278	45290	604038
279	45410	603313
280	45532	602617
281	45665	602070
282	45837	602038
283	45981	601644
284	46111	601070
285	46258	600713
286	46429	600677
287	46558	600087
288	46680	599410
289	46916	600206
290	47144	600890
291	47364	601462
292	47664	603048
293	47986	604894
294	48239	605854
295	48514	607087
296	48780	608200
297	49060	609473
298	49313	610395
299	49559	611231
300	49828	612347
301	50150	614093
302	50388	614804
303	50639	615669
304	50933	617042
305	51144	617414
306	51309	617214
307	51445	616672
308	51590	616242
309	51739	615872
310	51856	615104
311	51997	614639
312	52149	614292
313	52282	613740
314	52410	613119
315	52561	612772
316	52708	612381
317	52825	611646
318	52962	611140
319	53150	611233
320	53270	610539
321	53410	610076
322	53555	609667
323	53687	609118
324	53821	608594
325	53943	607934
326	54085	607505
327	54395	608966
328	54530	608453
329	54660	607887
330	54794	607379
331	54941	607005
332	55057	606297
333	55175	605610
334	55309	605101
335	55461	604794
336	55606	604406
337	55774	604283
338	55893	603619
339	56025	603099
340	56136	602360
341	56306	602247
342	56463	602000
343	56608	601628
344	56767	601408
345	56899	600900
346	57009	600163
347	57129	599528
348	57288	599315
349	57472	599354
350	57611	598927
351	57723	598228
352	57850	597674
353	58016	597533
354	58143	596991
355	58299	596749
356	58459	596552
357	58597	596125
358	58785	596208
359	58921	595766
360	59045	595198
361	59169	594632
362	59320	594353
363	59484	594195
364	59620	593756
365	59744	593202
366	59913	593092
367	60058	592754
368	60202	592398
369	60325	591842
370	60530	592092
371	60663	591631
372	60814	591349
373	60929	590727
374	61208	591683
375	61443	592215
376	61783	593740
377	62039	594463
378	62312	595343
379	62539	595768
380	62847	596967
381	63098	597616
382	63424	598975
383	63608	598976
384	63905	600043
385	64168	600791
386	64386	601108
387	64654	601886
388	64966	603066
389	65239	603884
390	65378	603459
391	65528	603126
392	65664	602675
393	65790	602134
394	65987	602236
395	66134	601887
396	66276	601494
397	66435	601262
398	66571	600814
399	66707	600364
400	66855	600033
401	67012	599779
402	67190	599715
403	67356	599536
404	67491	599091
405	67607	598474
406	67741	598025
407	67871	597533
408	68084	597780
409	68245	597566
410	68380	597122
411	68508	596623
412	68634	596108
413	68771	595683
414	68893	595140
415	69074	595105
416	69220	594766
417	69370	594461
418	69514	594111
419	69650	593691
420	69775	593176
421	69917	592804
422	70097	592759
423	70239	592393
424	70386	592071
425	70516	591609
426	70686	591483
427	70814	591002
428	70963	590702
429	71108	590365
430	71291	590344
431	71454	590164
432	71605	589874
433	71756	589597
434	71907	589312
435	72019	588713
436	72184	588545
437	72350	588381
438	72476	587898
439	72594	587351
440	72720	586878
441	72847	586405
442	73001	586151
443	73212	586356
444	73387	586271
445	73499	585688
446	73641	585342
447	73761	584824
448	73905	584497
449	74037	584072
450	74207	583948
451	74362	583714
452	74480	583185
453	74616	582797
454	74734	582271
455	74863	581834
456	75012	581552
457	75165	581303
458	75403	581704
459	75654	582208
460	75898	582658
461	76166	583281
462	76454	584058
463	76689	584426
464	76976	585185
465	77205	585499
466	77492	586254
467	77689	586320
468	77949	586865
469	78172	587129
470	78522	588332
471	78731	588481
472	78995	589039
473	79163	588882
474	79435	589495
475	79661	589760
476	79782	589252
477	79873	588526
478	79992	588005
479	80173	587935
480	80310	587550
481	80444	587145
482	80633	587141
483	80808	587033
484	80946	586652
485	81064	586134
486	81191	585682
487	81317	585216
488	81444	584769
489	81567	584290
490	81756	584287
491	81887	583863
492	82009	583384
493	82149	583031
494	82288	582666
495	82424	582292
496	82558	581898
497	82757	581958
498	82896	581603
499	83014	581098
500	83171	580874
